I1578,  Gx,  11.125° / -25.067°, Scl, 0.6', 14.0m, 
  239,    ,  11.150° /  -3.783°, Cet,     ,      , 
I1577,    ,  11.150° /  -8.133°, Cet,     ,      , 
  240,  Gx,  11.275° /   6.133°, Psc,     , 15.0m, 
  248,  Nb,  11.350° / -73.383°, Tuc,     ,      , 
  249,  Nb,  11.350° / -73.083°, Tuc,     ,      , 
I1579,  Gx,  11.400° / -26.567°, Scl, 0.8', 15.0m, 
  244,  Gx,  11.450° / -15.600°, Cet, 1.3', 13.3m, 
  243,  Gx,  11.475° /  29.933°, And,     , 14.0m, 
  256, C+N,  11.475° / -73.500°, Tuc,     , 12.0m, 
  245,  Gx,  11.525° /  -1.733°, Cet, 1.4', 13.0m, 
I1581,    ,  11.525° / -25.900°, Scl,     ,      , 
I  50,  Gx,  11.550° /  -9.500°, Cet, 0.6', 14.0m, 
I1580,    ,  11.575° /  29.917°, And,     ,      , 
I1582,  Gx,  11.575° / -24.300°, Cet, 1.2', 15.0m, 
I  51,  Gx,  11.600° / -13.433°, Cet, 1.0', 13.0m, 
